File Name,P-Value 3 Files,P-Value 4 Files,P-Value 5 Files,P-Value 6 Files
Urtecho et al,1.2621484815683055e-06,2.088191213408043e-12,1.0953800837822882e-11,1.594469866142707e-15
Anderson et al,0.001521636093155666,0.0004636992294448866,0.0010560736140500146,0.017990779524051106
Hossain et al,0.028051915206472613,0.009466344854347193,0.4270904954022675,0.6640009148643204
La Fleur et al,0.053608031979554396,0.1202489194276037,0.0005099381956080118,0.00016779958578762362
De Novo Designs,0.05874486384509021,0.02694312023196326,0.0005897682033954981,0.012018881062885066
Yu et al,0.17072298812091208,0.2867922624223213,0.033680167631012295,0.20154139713659164
Lagator et al Pr,0.2669757317312103,0.25604918009366945,0.884686404997319,0.6402650868371542
Lagator et al 36N,0.30597498168789905,0.9343861998221653,0.6599166895866271,0.548133954922855
Lagator et al Pl,0.8713669341989123,0.9580740934475226,0.8762052180855724,0.052211470949256385
