,File Name,Data Points,Coefficient of Variation (Self),Coefficient of Variation (All)
0,La Fleur et al,4312,0.07274383512385556,0.22708487946346687
1,Urtecho et al,8718,0.16477859927559904,0.17227925441272396
2,Hossain et al,3480,0.05369293336914136,0.17007740013490727
3,Yu et al,1194,0.2580196285141001,0.16795898615868524
4,Lagator et al 36N,9188,0.026652000106392223,0.10818745899476026
5,Lagator et al Pl,2322,0.1223605410572188,0.13706558272627306
6,Lagator et al Pr,9755,0.03990215782655461,0.19607662069646847
7,Anderson et al,14,0.290574250602428,0.28033327158444293
8,De Novo Designs,28,0.34997458591448094,0.13173108433998354
