Dataset,Dataset Size,Coefficient of Variation (Self),Coefficient of Variation (All)
La Fleur et al,5391,0.07667873490904678,0.23936848042978348
Urtecho et al,10898,0.1736918944543548,0.18159827917994056
Hossain et al,4350,0.05659732123404834,0.17927732098204524
Yu et al,1493,0.27197656904502765,0.17704431658471342
Lagator et al 36N,11485,0.028093674845083134,0.11403959489650431
Lagator et al Pl,2903,0.12897933515711957,0.1444798100777514
Lagator et al Pr,12194,0.04206056742914216,0.20668290576991707
Anderson et al,18,0.3062921537667421,0.2954972140444663
De Novo Designs,35,0.36890560488801405,0.13885675505269554
