,La Fleur et al,Urtecho et al,Hossain et al,Yu et al,Lagator et al 36N,Lagator et al Pl,Lagator et al Pr,Anderson et al,De Novo Designs
0,"[0.0008462771656922996, 0.1150001809000969]","[0.0003311829059384763, 0.02750958874821663]","[0.007981255650520325, 0.13880009949207306]","[0.0014051671605557203, 0.2176072597503662]","[0.00256143044680357, 0.12725742161273956]","[0.004190893843770027, 0.15306147933006287]","[0.001840903889387846, 0.06679235398769379]","[0.00977214053273201, 0.506909191608429]","[0.026800189167261124, 0.02619272843003273]"
1,"[0.0008317572646774352, 0.059128329157829285]","[0.0002683490456547588, 0.037031859159469604]","[0.008113070391118526, 0.11727770417928696]","[0.0014197012642398477, 0.40254199504852295]","[0.0027252319268882275, 0.12421322613954544]","[0.0036303570959717035, 0.15599729120731354]","[0.0019268293399363756, 0.10118559747934341]","[0.012431743554770947, 0.4880315959453583]","[0.0218641497194767, 0.038016073405742645]"
2,"[0.0008755128947086632, 0.11105401068925858]","[0.00039706917596049607, 0.027952302247285843]","[0.008637710474431515, 0.16607746481895447]","[0.001373960287310183, 0.30691954493522644]","[0.002667747437953949, 0.11456277221441269]","[0.004498690832406282, 0.13423125445842743]","[0.0017515195067971945, 0.0759562999010086]","[0.005280955694615841, 0.3888991177082062]","[0.021791759878396988, 0.03043382801115513]"
3,"[0.0009001002763397992, 0.0888935998082161]","[0.0003809177433140576, 0.0359320305287838]","[0.008409685455262661, 0.17303849756717682]","[0.001578852767124772, 0.3950279653072357]","[0.002829133067280054, 0.13889756798744202]","[0.003680849215015769, 0.19873782992362976]","[0.0019768336787819862, 0.06680715829133987]","[0.014639445580542088, 0.3415343761444092]","[0.016863087192177773, 0.026033155620098114]"
4,"[0.000915512559004128, 0.059167783707380295]","[0.0003484307380858809, 0.044665172696113586]","[0.008707826025784016, 0.15187257528305054]","[0.001366902724839747, 0.32862284779548645]","[0.002660164376720786, 0.11961863189935684]","[0.005134684965014458, 0.15610000491142273]","[0.0018701539374887943, 0.06375876069068909]","[0.015177564695477486, 0.29063689708709717]","[0.01048449706286192, 0.034734196960926056]"
5,"[0.0008542552823200822, 0.11747529357671738]","[0.00028098103939555585, 0.03131673485040665]","[0.008523249998688698, 0.1429949253797531]","[0.0013020164333283901, 0.37805381417274475]","[0.0027309884317219257, 0.0939362570643425]","[0.003696850035339594, 0.2095586657524109]","[0.0019291467033326626, 0.0446733795106411]","[0.009640952572226524, 0.20908750593662262]","[0.01173946913331747, 0.03450947254896164]"
6,"[0.0008410876616835594, 0.11773372441530228]","[0.000469419319415465, 0.024389954283833504]","[0.009609373286366463, 0.11649446189403534]","[0.0024981461465358734, 0.2732909023761749]","[0.002766184974461794, 0.10452055931091309]","[0.003909251652657986, 0.15215225517749786]","[0.001880562282167375, 0.06729654222726822]","[0.015001173131167889, 0.32621732354164124]","[0.008670649491250515, 0.035156093537807465]"
7,"[0.0008452560869045556, 0.07919063419103622]","[0.00038442129152826965, 0.03163977339863777]","[0.007973720319569111, 0.18243172764778137]","[0.002375212498009205, 0.31963998079299927]","[0.0027431014459580183, 0.1289575845003128]","[0.0037083306815475225, 0.14601726830005646]","[0.0019528199918568134, 0.0820959135890007]","[0.013987374491989613, 0.5665732622146606]","[0.011674681678414345, 0.029422208666801453]"
8,"[0.0010255849920213223, 0.10421687364578247]","[0.00036618721787817776, 0.03888031467795372]","[0.008282922208309174, 0.15535712242126465]","[0.0014397993218153715, 0.3217778205871582]","[0.0026611825451254845, 0.1088469848036766]","[0.004313749726861715, 0.15704865753650665]","[0.001930479658767581, 0.06928721815347672]","[0.01636013202369213, 0.4819886088371277]","[0.01582282967865467, 0.03742825612425804]"
9,"[0.0009997617453336716, 0.10538852959871292]","[0.0004440772463567555, 0.03449440747499466]","[0.008308072574436665, 0.20412598550319672]","[0.0013959549833089113, 0.3844343423843384]","[0.0026375451125204563, 0.10949046164751053]","[0.0034278035163879395, 0.1745472252368927]","[0.0017519963439553976, 0.08355031162500381]","[0.00787331536412239, 0.5682859420776367]","[0.013742848299443722, 0.03739004209637642]"
